Post Date,Brand Name,Brand Handle,Industry,Campaign Type,Campaign Message,OOH Formats,Location,Caption Summary,Brand Confidence,Industry Confidence
2025-12-09,Dubai Calendar,@dubai_calendar,Hospitality & Tourism,event_promotion,Promote JCC Season 2 as a cultural journey before the event begins.,billboard,"Dubai, UAE","@dubai_calendar’s new #billboard campaign turns JCC Season 2 into a cultural journey long before the event begins.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaigns
#Out",HIGH,HIGH
2025-12-11,Franz Ferdinand,@franz_ferdinand,Entertainment & Media,event_promotion,Announce the upcoming arrival of Franz Ferdinand in the UAE.,billboard,UAE,"#UAE’s #billboards are buzzing, @franz_ferdinand is coming, and the city can already feel the beat.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaigns
#OutOfHome #OOH_Emi",HIGH,HIGH
2025-12-03,HSBC UAE,@hsbc_uae,Banking & Finance,brand_awareness,"Showcase HSBC Premier’s wealth, health, travel and international power offering for elite customers.","billboard, OOH","Dubai, UAE","@hsbc_uae Premier's #OOH Campaign Curates Wealth, Health, Travel & International Power for the Elite.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaigns
#OutOfHome #OOH_E",HIGH,HIGH
2025-12-04,RSILOU,@rsilou.gcc,Automotive,product_launch,"Introduce RSILOU on DOOH highlighting speed, energy and standout visibility.",DOOH,"Dubai, UAE","@rsilou.gcc steps onto the #DOOH stage with a campaign that’s all about speed, energy, and standout visibility.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaigns
#OutOfH",MEDIUM,MEDIUM
2025-11-28,Beyond Developments,@beyonddevelopments,Real Estate,product_launch,"Present five major new developments, each with a distinct identity.",billboard,UAE,"The @beyonddevelopments campaign introduces five major developments, each carefully crafted to evoke distinct identities.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaig",HIGH,HIGH
2025-12-05,Cadillac F1,@cadillacf1,Automotive,partnership,Promote Cadillac’s F1‑linked luxury experience on UAE billboards.,billboard,"Dubai, UAE","Experience @cadillacf1 on the #UAE’s #billboards, from @f1 excitement to street-ready luxury.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaigns
#OutOfHome #OOH_Emirates ",HIGH,HIGH
2025-12-01,Industry News,,Industry News,industry_news,"Celebrate UAE National Day, honoring heritage and future.",,UAE,"Honoring the heritage. Celebrating the future.
Happy UAE National Day",HIGH,HIGH
2025-11-28,Dior,@dior,Beauty & Personal Care,brand_awareness,"Dior campaign featuring Robert Pattinson, blending classic savoir‑faire with a modern edge.",billboard,"Dubai, UAE","Brooding, magnetic, and effortlessly tailored, #Robert_Pattinson becomes the face of a campaign that mixes @dior’s classic savoir-faire with a dusky modern edge.

Read the full article on our website ",HIGH,HIGH
2025-12-05,e& Money,@eandmoney,Banking & Finance,promotional_sale,Promote zero‑fee money transfers abroad via e& Money billboards.,billboard,"Dubai, UAE","@eandmoney's #billboards in the #UAE invite everyone to relish the experience of sending money abroad with zero fees.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaigns
#",HIGH,HIGH
2025-12-03,Ohana Development,@ohana_development,Real Estate,product_launch,Launch Jacob & Co Beachfront Living as a new benchmark in coastal elegance.,"OOH, billboard","Dubai, UAE","@ohana_development unveils Jacob & Co Beachfront Living on #Dubai's #OOH: a new benchmark in coastal elegance.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaigns
#OutOfHo",HIGH,HIGH
2025-11-30,Insite OOH,@insiteooh_ae,Industry News,event_promotion,Honoring the courage of those who stood for the UAE on Commemoration Day.,,UAE,"Some days remind us of what courage really looks like.
Commemoration Day is one of them.
Honoring every soul who stood for the UAE.",LOW,MEDIUM
2025-11-27,Chery,@chery.uae,Automotive,brand_awareness,Introducing new offers and hybrid performance on high‑visibility UAE billboards.,billboard,"Dubai, UAE","From hybrid muscle to unbeatable offers, @chery.uae’s new #UAE #billboards are impossible to miss.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaigns
#OutOfHome #OOH_Emir",HIGH,HIGH
2025-11-26,MG,@mgmotorae,Automotive,product_launch,Showcasing the new MG HS Hybrid+ dynamic SUV on Sharjah billboards.,billboard,"Dubai, UAE","@mgmotorae's Sharjah #billboards highlight the all-new dynamic SUV, the MG HS Hybrid+, showcasing its bold, confident style.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCamp",HIGH,HIGH
2025-11-25,Qube Development,@qube.development,Real Estate,brand_awareness,Luxury living promoted through an outdoor campaign turning billboards into high‑end lifestyle visuals.,billboard,"Dubai, UAE","Luxury living hits the #UAE skyline as @qube.development’s new #outdoor campaign turns every #billboard into a glimpse of high-end living.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaT",HIGH,HIGH
2025-11-27,Prime Video MENA,@primevideomena,Entertainment & Media,partnership,Promoting nonstop action shows and doorstep delivery partnership with Amazon UAE.,billboard,"Dubai, UAE","@primevideomena's #UAE #billboards invite audiences into non-stop action with top shows, and get items delivered to your doorstep with @amazonae Now.

Read the full article on our website 🌍 

#InsiteO",HIGH,HIGH
2025-11-25,LMD Real Estate,@lmdrealestate,Real Estate,brand_awareness,"Introducing W Cairo The Residences with warm, contemporary visuals highlighting comfort and sophistication.",billboard,"Dubai, UAE","The other side introduces @lmdrealestate's W Cairo The Residences with warm, contemporary visuals that speak to comfort, sophistication, and curated living.

Read the full article on our website 🌍 

#",HIGH,HIGH
2025-11-27,Sanzan Developments,@sanzendevelopments,Real Estate,brand_awareness,"Communicating a philosophy of tranquil, comfortable living through UAE billboards.",billboard,"Dubai, UAE","A gentle wave of tranquility is flowing across the #UAE's #billboards, as @sanzendevelopments unveils its philosophy, inviting audiences to a more comfortable, peaceful living space.

Read the full ar",HIGH,HIGH
2025-11-28,LEGO,@lego,Retail,brand_awareness,"Showcasing 3D builds, die‑cuts and larger‑than‑life characters on UAE billboards.",billboard,UAE,"Step into a world built beyond the bricks. @lego’s latest UAE #billboards are bending reality with 3D builds, die-cuts, and larger-than-life characters. 

Read the full article on our website 🌍 

#Ins",HIGH,HIGH
2025-11-24,Citi Developers,@citidevelopers,Real Estate,brand_awareness,Transforming UAE highways into a canvas of serenity and luxury with new AMRA billboards.,billboard,"Dubai, UAE","@citidevelopers' new AMRA #billboards are transforming #UAE highways into a canvas of serenity and luxury.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaigns
#OutOfHome #",HIGH,HIGH
2025-11-24,Oasis by ADNOC,@oasisbyadnoc,Food & Beverage,brand_awareness,"Elevating on‑the‑go food perception to ""on‑the‑gourmet"" with a sophisticated magazine‑style OOH approach.",billboard,"Dubai, UAE","This sophisticated and magazine-quality approach  from @oasisbyadnoc by @adnocgroup is designed to elevate the perception of ""on-the-go"" food to ""on-the-gourmet.""

Read the full article on our website",HIGH,HIGH
2025-11-26,Emirates NBD,@emiratesnbd_ae,Banking & Finance,brand_awareness,“Play It Like @pepteam” – bold stadium‑inspired visuals to boost Emirates NBD brand visibility.,billboard,UAE,"@emiratesnbd_ae just brought stadium energy to the streets of the #UAE. From bold visuals to a star-powered message, their new “Play It Like @pepteam” billboards score big in #outdoor advertising.

Re",HIGH,HIGH
2025-12-08,Vaseline,@vaselinearabia,Beauty & Personal Care,product_launch,Launch of Gluta‑Hya serum lotion highlighting GlutaGlow and Hyaluron ingredients.,billboard,UAE,"@vaselinearabia Gluta-Hya serum lotion featured on #billboards, promoting formulas enriched with GlutaGlow and Hyaluron.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaign",HIGH,HIGH
2025-11-19,Sharjah Art,@sharjahart,Entertainment & Media,event_promotion,Promotion of the 26th Sharjah Art Islamic Arts Festival across Sharjah’s main thoroughfares.,billboard,"Sharjah, UAE","#Sharjah's OOH scene is showcasing the 26th @sharjahart's Islamic Arts Festival across its main thoroughfares.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaigns
#OutOfHo",HIGH,HIGH
2025-11-21,Raising Cane's,@raisingcanesme,Food & Beverage,expansion,Celebrating 10 years in Dubai while promoting the Box Combo and a new branch opening.,DOOH,"Dubai, UAE","@raisingcanesme’s Dubai's D/OOH is marking a decade in the city, promoting its Box Combo and new branch opening location.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaig",HIGH,HIGH
2025-11-21,DAMAC,@damacofficial,Real Estate,product_launch,Launch of the luxury Islands and Islands 2 projects featuring Bollywood and Arab stars.,DOOH,"Dubai, UAE",@damacofficial has once again captured attention in Dubai with its latest #DOOH promoting the luxury Islands and Islands 2 projects. This visually striking campaign features some of Bollywood and Arab,HIGH,HIGH
2025-11-18,Buccellati,@buccellatimilan,Retail,brand_awareness,Showcasing Buccellati jewelry collection on The Dubai Mall bridge screens and totems.,"bridge screens, totems","Dubai, UAE","@buccellatimilan's crisp shots, filigree cuffs, cocktail rings, and engraved gold flank a triptych on @thedubaimall's bridge screens and totems.

Read the full article on our website 🌍 

#InsiteOOH🪧 #",HIGH,HIGH
2025-11-20,Chevrolet,@chevroletarabia,Automotive,product_launch,Promoting the Captiva PHEV electric vehicle on UAE billboards.,billboard,UAE,"@chevroletarabia just took #UAE #billboards to the next level, and the Captiva PHEV is leading the charge.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaigns
#OutOfHome #",HIGH,HIGH
2025-11-19,Caraj Jewellers,@carajewellers,Retail,brand_awareness,Storytelling campaign using a desert backdrop to highlight Caraj Jewellers’ regional growth.,billboard,UAE,"The desert backdrop is used metaphorically: shifting, sunlit, and full of history, much like @carajewellers' journey from a single store to a trusted regional name.

Read the full article on our websi",HIGH,HIGH
2025-11-18,Land Rover Defender,@defender,Automotive,brand_awareness,"Highlighting the Defender’s capability, confidence and attitude across UAE OOH.",billboard,UAE,"The @defender brings capability, confidence, and attitude to the #UAE.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaigns
#OutOfHome #OOH_Emirates 🇦🇪 #OOHMarketing",HIGH,HIGH
2025-12-03,Insite OOH,@insiteooh_ae,Industry News,industry_news,,,UAE,,MEDIUM,HIGH
2025-11-19,DP World,@dpworlduae,Transportation & Logistics,event_promotion,Showcase DP World's smart logistics and champion partnerships during the DP World Tour.,OOH,"Dubai, UAE","@dpworlduae Dubai #OOH powered the @dpworldtour with its smart logistics and champion partnerships, like the professional @officialtommyfleetwood.

Read the full article on our website 🌍 

#InsiteOOH🪧",HIGH,HIGH
2025-11-20,UAB,@uabuae,Banking & Finance,brand_awareness,"Highlight the bank’s clarity, trust and identity through premium digital OOH screens.",digital screens,"Dubai, UAE","@uabuae's #OOH campaign utilizes premium digital screens to capture eyes, focusing on clarity and trust, highlighting the bank’s identity in a simple layout.

Read the full article on our website 🌍 

",HIGH,HIGH
2025-12-05,Lenovo,@lenovo_me,Technology,brand_awareness,"Maintain Lenovo’s steady OOH presence in Egypt, leveraging its long‑term sports partnerships.",OOH,UAE,"@lenovo_me, known for its long partnership with the world of sports and especially @f1, has kept a steady #OOH presence in Egypt since September 2025.

Read the full article on our website 🌍 

#Insite",HIGH,HIGH
2025-11-18,Trendyol,@trendyol.ar,Retail,brand_awareness,Re‑introduce Trendyol’s latest fashion trends on Dubai’s OOH screens.,OOH,"Dubai, UAE","@trendyol.ar returned on #Dubai's #OOH scene, offering the brand’s latest trends.

Read the full article on our website 🌍 

#InsiteOOH🪧 #MediaTrends #OOHCampaigns
#OutOfHome #OOH_Emirates 🇦🇪 #OOHMarke",HIGH,HIGH
2025-11-17,Gargash GAC Motor,@gargashgacmotoruae,Automotive,product_launch,"Unveil the GS8’s design and performance, positioning it as a luxury‑grade automotive offering.",OOH,UAE,"@gargashgacmotoruae just unveiled its #OOH campaign, showcasing the meticulously engineered GS8, exquisite design, and superior driving performance that rivals the best in automotive luxury.

Read the",HIGH,HIGH
